FileName,ProductName,Key,Value,Validation
RV_20240405_clothing_output_150_jeeva.json,B00LVFDO8S,itemsForDeletion,This B00LVFDO8S product have duplicates in itemsToBeModified,Error
RV_20240405_clothing_output_50_sudipta.json,B0170P59O4,agegroup,Invalid property 'agegroup' found for product B0170P59O4,Error
RV_20240405_clothing_output_50_sudipta.json,B015S5LIWA,agegroup,Invalid property 'agegroup' found for product B015S5LIWA,Error
RV_20240405_clothing_output_50_sudipta.json,B00GSCWKZ2,agegroup,Invalid property 'agegroup' found for product B00GSCWKZ2,Error
RV_20240405_clothing_output_50_sudipta.json,B00VNZWZ8Q,agegroup,Invalid property 'agegroup' found for product B00VNZWZ8Q,Error
RV_20240405_clothing_output_50_sudipta.json,B01G59OZB4,agegroup,Invalid property 'agegroup' found for product B01G59OZB4,Error
RV_20240405_clothing_output_50_sudipta.json,B01EIQ8B0W,agegroup,Invalid property 'agegroup' found for product B01EIQ8B0W,Error
RV_20240405_clothing_output_50_sudipta.json,B01DJ9FYI6,agegroup,Invalid property 'agegroup' found for product B01DJ9FYI6,Error
RV_20240405_clothing_output_50_sudipta.json,B00W44JUJM,agegroup,Invalid property 'agegroup' found for product B00W44JUJM,Error
RV_20240405_clothing_output_50_sudipta.json,B01G2GAOBK,agegroup,Invalid property 'agegroup' found for product B01G2GAOBK,Error
RV_20240405_clothing_output_50_sudipta.json,B00497BTHI,agegroup,Invalid property 'agegroup' found for product B00497BTHI,Error
RV_20240405_clothing_output_50_sudipta.json,B005AMAZBW,agegroup,Invalid property 'agegroup' found for product B005AMAZBW,Error
RV_20240405_clothing_output_50_sudipta.json,B0044ZWWJO,agegroup,Invalid property 'agegroup' found for product B0044ZWWJO,Error
RV_20240405_clothing_output_50_sudipta.json,B008C4KCU4,agegroup,Invalid property 'agegroup' found for product B008C4KCU4,Error
RV_20240405_clothing_output_50_sudipta.json,B0044PW2NK,agegroup,Invalid property 'agegroup' found for product B0044PW2NK,Error
RV_20240405_clothing_output_50_sudipta.json,B00XCKWDJG,imageUrlIndexes,Duplicate value found in 'imageUrlIndexes' for product 'B00XCKWDJG',Error
RV_20240405_clothing_output_50_sudipta.json,B00YTIBOCC,agegroup,Invalid property 'agegroup' found for product B00YTIBOCC,Error
RV_20240405_clothing_output_50_sudipta.json,B006MXPGTY,agegroup,Invalid property 'agegroup' found for product B006MXPGTY,Error
RV_20240405_clothing_output_50_sudipta.json,B00H06HPMS,agegroup,Invalid property 'agegroup' found for product B00H06HPMS,Error
RV_20240405_clothing_output_50_sudipta.json,B008M9UMLS,agegroup,Invalid property 'agegroup' found for product B008M9UMLS,Error
RV_20240405_clothing_output_50_sudipta.json,B004HV9ZPE,agegroup,Invalid property 'agegroup' found for product B004HV9ZPE,Error
RV_20240405_clothing_output_50_sudipta.json,B0059N4B8K,agegroup,Invalid property 'agegroup' found for product B0059N4B8K,Error
RV_20240405_clothing_output_50_sudipta.json,B00AE7EV0Y,agegroup,Invalid property 'agegroup' found for product B00AE7EV0Y,Error
RV_20240405_clothing_output_50_sudipta.json,B0080XN2PO,agegroup,Invalid property 'agegroup' found for product B0080XN2PO,Error
RV_20240405_clothing_output_50_sudipta.json,B00UM2J52U,agegroup,Invalid property 'agegroup' found for product B00UM2J52U,Error
RV_20240405_clothing_output_56_nisha.json,B0143VKIZS,productType,Invalid productType value 'mens underwear' found for the product 'B0143VKIZS',Error
RV_20240405_clothing_output_56_nisha.json,B00K0TANL2,productType,Invalid productType value 'mens underwear' found for the product 'B00K0TANL2',Error
RV_20240408_clothing_output_200_nisha.json,B005G58QL4,itemsForDeletion,This B005G58QL4 product have duplicates in itemsToBeModified,Error
RV_20240408_clothing_output_200_nisha.json,B00P57KHIS,itemsForDeletion,This B00P57KHIS product have duplicates in itemsToBeModified,Error
RV_20240409_clothing_output_146_jeeva.json,B013I2I0VC,gender,Invalid gender value 'mens' found for the product 'B013I2I0VC',Error
RV_20240409_clothing_output_52_sudipta.json,B0170DR67E,agrGroup,Invalid property 'agrGroup' found for product B0170DR67E,Error
RV_20240410_clothing_output_124_jeeva.json,B005A9V39I,agegroup,Invalid property 'agegroup' found for product B005A9V39I,Error
RV_20240410_clothing_output_124_jeeva.json,B0106TUOYQ,agegroup,Invalid property 'agegroup' found for product B0106TUOYQ,Error
